"GEO_ID","NAME","P001001","P001001ERR",
"Geography","Geographic Area Name","Total","Errata of Total",
"8600000US11206","ZCTA5 11206","81677","null",
"8600000US11207","ZCTA5 11207","93386","null",
"8600000US11208","ZCTA5 11208","94469","null",
"8600000US11209","ZCTA5 11209","68853","null",
"8600000US11210","ZCTA5 11210","62008","null",
"8600000US11211","ZCTA5 11211","90117","null",
"8600000US11212","ZCTA5 11212","84500","null",
"8600000US11213","ZCTA5 11213","63767","null",
"8600000US11214","ZCTA5 11214","88630","null",
"8600000US11215","ZCTA5 11215","63488","null",
"8600000US11216","ZCTA5 11216","54316","null",
"8600000US11217","ZCTA5 11217","35881","null",
"8600000US11218","ZCTA5 11218","75220","null",
"8600000US11219","ZCTA5 11219","92221","null",
"8600000US11220","ZCTA5 11220","99598","null",
"8600000US11221","ZCTA5 11221","78895","null",
"8600000US11222","ZCTA5 11222","36934","null",
"8600000US11223","ZCTA5 11223","78731","null",
"8600000US11224","ZCTA5 11224","47621","null",
"8600000US11225","ZCTA5 11225","56829","null",
"8600000US11226","ZCTA5 11226","101572","null",
"8600000US11228","ZCTA5 11228","41788","null",
"8600000US11229","ZCTA5 11229","80018","null",
"8600000US11230","ZCTA5 11230","86408","null",
"8600000US11231","ZCTA5 11231","33336","null",
"8600000US11232","ZCTA5 11232","28265","null",
"8600000US11233","ZCTA5 11233","67053","null",
"8600000US11234","ZCTA5 11234","87757","null",
"8600000US11235","ZCTA5 11235","79132","null",
"8600000US11236","ZCTA5 11236","93877","null",
"8600000US11237","ZCTA5 11237","49896","null",
"8600000US11238","ZCTA5 11238","49262","null",
"8600000US11239","ZCTA5 11239","13393","null",
"8600000US11351","ZCTA5 11351","0","null",
"8600000US11354","ZCTA5 11354","54878","null",
"8600000US11355","ZCTA5 11355","85871","null",
"8600000US11356","ZCTA5 11356","23438","null",
"8600000US11357","ZCTA5 11357","39150","null",
"8600000US11358","ZCTA5 11358","37546","null",
"8600000US11359","ZCTA5 11359","0","null",
"8600000US11360","ZCTA5 11360","18884","null",
"8600000US11361","ZCTA5 11361","28606","null",
"8600000US11362","ZCTA5 11362","17823","null",
"8600000US11363","ZCTA5 11363","6988","null",
"8600000US11364","ZCTA5 11364","34555","null",
"8600000US11365","ZCTA5 11365","42252","null",
"8600000US11366","ZCTA5 11366","13532","null",
"8600000US11367","ZCTA5 11367","41047","null",
"8600000US11368","ZCTA5 11368","109931","null",
"8600000US11369","ZCTA5 11369","38615","null",
"8600000US11370","ZCTA5 11370","39688","null",
"8600000US11371","ZCTA5 11371","0","null",
"8600000US11372","ZCTA5 11372","66636","null",
"8600000US11373","ZCTA5 11373","100820","null",
"8600000US11374","ZCTA5 11374","43600","null",
"8600000US11375","ZCTA5 11375","68733","null",
"8600000US11377","ZCTA5 11377","89830","null",
"8600000US11378","ZCTA5 11378","34981","null",
"8600000US11379","ZCTA5 11379","34821","null",
"8600000US11385","ZCTA5 11385","98592","null",
"8600000US11411","ZCTA5 11411","18556","null",
"8600000US11412","ZCTA5 11412","34882","null",
"8600000US11413","ZCTA5 11413","38912","null",
"8600000US11414","ZCTA5 11414","26148","null",
"8600000US11415","ZCTA5 11415","19341","null",
"8600000US11416","ZCTA5 11416","24861","null",
"8600000US11417","ZCTA5 11417","28967","null",
"8600000US11418","ZCTA5 11418","36256","null",
"8600000US11419","ZCTA5 11419","47211","null",
"8600000US11420","ZCTA5 11420","44354","null",
"8600000US11421","ZCTA5 11421","39127","null",
"8600000US11422","ZCTA5 11422","30425","null",
"8600000US11423","ZCTA5 11423","29987","null",
"8600000US11424","ZCTA5 11424","0","null",
"8600000US11425","ZCTA5 11425","0","null",
"8600000US11426","ZCTA5 11426","17590","null",
"8600000US11427","ZCTA5 11427","23593","null",
"8600000US11428","ZCTA5 11428","19168","null",
"8600000US11429","ZCTA5 11429","25105","null",
"8600000US11430","ZCTA5 11430","184","null",
"8600000US11432","ZCTA5 11432","60809","null",
"8600000US11433","ZCTA5 11433","32687","null",
"8600000US11434","ZCTA5 11434","59129","null",
"8600000US11435","ZCTA5 11435","53687","null",
"8600000US11436","ZCTA5 11436","17949","null",
"8600000US11451","ZCTA5 11451","0","null",
"8600000US11501","ZCTA5 11501","19148","null",
"8600000US11507","ZCTA5 11507","7406","null",
"8600000US11509","ZCTA5 11509","2653","null",
"8600000US11510","ZCTA5 11510","33048","null",
"8600000US11514","ZCTA5 11514","4673","null",
"8600000US11516","ZCTA5 11516","7556","null",
"8600000US11518","ZCTA5 11518","10549","null",
"8600000US11520","ZCTA5 11520","43341","null",
"8600000US11530","ZCTA5 11530","27273","null",
"8600000US11542","ZCTA5 11542","27633","null",
"8600000US11545","ZCTA5 11545","12065","null",
"8600000US11547","ZCTA5 11547","793","null",
"8600000US11548","ZCTA5 11548","2780","null",
"8600000US11549","ZCTA5 11549","2922","null",
"8600000US11550","ZCTA5 11550","56435","null",
"8600000US11552","ZCTA5 11552","23616","null",
"8600000US11553","ZCTA5 11553","26034","null",
"8600000US11554","ZCTA5 11554","38132","null",
"8600000US11556","ZCTA5 11556","17","null",
"8600000US11557","ZCTA5 11557","7823","null",
"8600000US11558","ZCTA5 11558","8370","null",
"8600000US11559","ZCTA5 11559","8176","null",
"8600000US11560","ZCTA5 11560","6464","null",
"8600000US11561","ZCTA5 11561","37280","null",
"8600000US11563","ZCTA5 11563","22666","null",
"8600000US11565","ZCTA5 11565","8690","null",
"8600000US11566","ZCTA5 11566","35321","null",
"8600000US11568","ZCTA5 11568","4555","null",
"8600000US11569","ZCTA5 11569","1398","null",
"8600000US11570","ZCTA5 11570","26646","null",
"8600000US11572","ZCTA5 11572","30574","null",
"8600000US11575","ZCTA5 11575","16272","null",
"8600000US11576","ZCTA5 11576","12366","null",
"8600000US11577","ZCTA5 11577","12337","null",
"8600000US11579","ZCTA5 11579","5055","null",
"8600000US11580","ZCTA5 11580","40113","null",
"8600000US11581","ZCTA5 11581","20844","null",
"8600000US11590","ZCTA5 11590","45768","null",
"8600000US11596","ZCTA5 11596","10480","null",
"8600000US11598","ZCTA5 11598","13328","null",
"8600000US11691","ZCTA5 11691","60035","null",
"8600000US11692","ZCTA5 11692","18540","null",
"8600000US11693","ZCTA5 11693","11916","null",
"8600000US11694","ZCTA5 11694","20408","null",
"8600000US11697","ZCTA5 11697","4079","null",
"8600000US11701","ZCTA5 11701","27109","null",
"8600000US11702","ZCTA5 11702","14498","null",
"8600000US11703","ZCTA5 11703","16415","null",
"8600000US11704","ZCTA5 11704","40222","null",
"8600000US11705","ZCTA5 11705","8030","null",
"8600000US11706","ZCTA5 11706","62543","null",
"8600000US11709","ZCTA5 11709","6669","null",
"8600000US11710","ZCTA5 11710","34496","null",
"8600000US11713","ZCTA5 11713","10401","null",
"8600000US11714","ZCTA5 11714","22658","null",
"8600000US11715","ZCTA5 11715","4752","null",
"8600000US11716","ZCTA5 11716","10700","null",
"8600000US11717","ZCTA5 11717","60745","null",
"8600000US11718","ZCTA5 11718","3103","null",
"8600000US11719","ZCTA5 11719","3589","null",
"8600000US11720","ZCTA5 11720","29189","null",
"8600000US11721","ZCTA5 11721","6292","null",
"8600000US11722","ZCTA5 11722","35177","null",
"8600000US11724","ZCTA5 11724","3220","null",
"8600000US11725","ZCTA5 11725","29150","null",
"8600000US11726","ZCTA5 11726","19857","null",
"8600000US11727","ZCTA5 11727","29030","null",
"8600000US11729","ZCTA5 11729","28032","null",
"8600000US11730","ZCTA5 11730","14712","null",
"8600000US11731","ZCTA5 11731","30184","null",
"8600000US11732","ZCTA5 11732","3430","null",
"8600000US11733","ZCTA5 11733","18949","null",
"8600000US11735","ZCTA5 11735","32098","null",
"8600000US11738","ZCTA5 11738","17638","null",
"8600000US11739","ZCTA5 11739","1223","null",
"8600000US11740","ZCTA5 11740","9454","null",
"8600000US11741","ZCTA5 11741","27655","null",
"8600000US11742","ZCTA5 11742","13261","null",
"8600000US11743","ZCTA5 11743","42230","null",
"8600000US11746","ZCTA5 11746","67094","null",
"8600000US11747","ZCTA5 11747","19803","null",
"8600000US11749","ZCTA5 11749","3345","null",
"8600000US11751","ZCTA5 11751","14961","null",
"8600000US11752","ZCTA5 11752","9531","null",
"8600000US11753","ZCTA5 11753","12014","null",
"8600000US11754","ZCTA5 11754","18958","null",
"8600000US11755","ZCTA5 11755","12387","null",
"8600000US11756","ZCTA5 11756","42791","null",
"8600000US11757","ZCTA5 11757","45700","null",
"8600000US11758","ZCTA5 11758","53804","null",
"8600000US11762","ZCTA5 11762","22360","null",
"8600000US11763","ZCTA5 11763","28506","null",
"8600000US11764","ZCTA5 11764","13200","null",
"8600000US11765","ZCTA5 11765","737","null",
"8600000US11766","ZCTA5 11766","12635","null",
"8600000US11767","ZCTA5 11767","14530","null",
"8600000US11768","ZCTA5 11768","21902","null",
"8600000US11769","ZCTA5 11769","9506","null",
"8600000US11770","ZCTA5 11770","137","null",
"8600000US11771","ZCTA5 11771","10007","null",
"8600000US11772","ZCTA5 11772","44837","null",
"8600000US11776","ZCTA5 11776","24235","null",
"8600000US11777","ZCTA5 11777","8968","null",
"8600000US11778","ZCTA5 11778","12709","null",
"8600000US11779","ZCTA5 11779","38421","null",
"8600000US11780","ZCTA5 11780","15524","null",
"8600000US11782","ZCTA5 11782","15814","null",
"8600000US11783","ZCTA5 11783","21288","null",
"8600000US11784","ZCTA5 11784","24655","null",
"8600000US11786","ZCTA5 11786","6344","null",
"8600000US11787","ZCTA5 11787","35772","null",
"8600000US11788","ZCTA5 11788","16821","null",
"8600000US11789","ZCTA5 11789","7895","null",
"8600000US11790","ZCTA5 11790","18511","null",
"8600000US11791","ZCTA5 11791","25076","null",
"8600000US11792","ZCTA5 11792","8523","null",
"8600000US11793","ZCTA5 11793","32298","null",
"8600000US11794","ZCTA5 11794","3165","null",
"8600000US11795","ZCTA5 11795","26030","null",
"8600000US11796","ZCTA5 11796","4056","null",
"8600000US11797","ZCTA5 11797","9041","null",
"8600000US11798","ZCTA5 11798","15347","null",
"8600000US11801","ZCTA5 11801","39553","null",
"8600000US11803","ZCTA5 11803","28127","null",
"8600000US11804","ZCTA5 11804","5010","null",
"8600000US11901","ZCTA5 11901","27172","null",
"8600000US11930","ZCTA5 11930","1343","null",
"8600000US11931","ZCTA5 11931","151","null",
"8600000US11932","ZCTA5 11932","1398","null",
"8600000US11933","ZCTA5 11933","6844","null",
"8600000US11934","ZCTA5 11934","7263","null",
"8600000US11935","ZCTA5 11935","3304","null",
"8600000US11937","ZCTA5 11937","15398","null",
"8600000US11939","ZCTA5 11939","926","null",
"8600000US11940","ZCTA5 11940","5210","null",
"8600000US11941","ZCTA5 11941","1986","null",
"8600000US11942","ZCTA5 11942","4603","null",
"8600000US11944","ZCTA5 11944","4299","null",
"8600000US11946","ZCTA5 11946","14068","null",
"8600000US11947","ZCTA5 11947","416","null",
"8600000US11948","ZCTA5 11948","1123","null",
"8600000US11949","ZCTA5 11949","14573","null",
"8600000US11950","ZCTA5 11950","16268","null",
"8600000US11951","ZCTA5 11951","13680","null",
"8600000US11952","ZCTA5 11952","4637","null",
"8600000US11953","ZCTA5 11953","13553","null",
"8600000US11954","ZCTA5 11954","3326","null",
"8600000US11955","ZCTA5 11955","3285","null",
"8600000US11956","ZCTA5 11956","349","null",
"8600000US11957","ZCTA5 11957","743","null",
"8600000US11958","ZCTA5 11958","635","null",
"8600000US11959","ZCTA5 11959","939","null",
"8600000US11960","ZCTA5 11960","1084","null",
"8600000US11961","ZCTA5 11961","12834","null",
"8600000US11962","ZCTA5 11962","494","null",
"8600000US11963","ZCTA5 11963","6622","null",
"8600000US11964","ZCTA5 11964","1858","null",
"8600000US11965","ZCTA5 11965","534","null",
"8600000US11967","ZCTA5 11967","26583","null",
"8600000US11968","ZCTA5 11968","11593","null",
"8600000US11970","ZCTA5 11970","522","null",
"8600000US11971","ZCTA5 11971","5818","null",
"8600000US11972","ZCTA5 11972","1321","null",
"8600000US11973","ZCTA5 11973","9","null",
"8600000US11975","ZCTA5 11975","408","null",
"8600000US11976","ZCTA5 11976","1565","null",
"8600000US11977","ZCTA5 11977","2467","null",
